datum,ingredient_name,ingredient_amount
2022-01-01,aioli,280.0
2022-01-01,bacon,100.0
2022-01-01,balsamico,5.0
2022-01-01,bearnaisesås,350.0
2022-01-01,blomkål,135.0
2022-01-01,bröd,80.0
2022-01-01,caesardressing,40.0
2022-01-01,cheddar,60.0
2022-01-01,coleslaw,160.0
2022-01-01,entrecote,720.0
2022-01-01,fläskfile,880.0
2022-01-01,hamburgarbröd,200.0
2022-01-01,hamburgardressing,120.0
2022-01-01,högrev,400.0
2022-01-01,inlagd_gurka,80.0
2022-01-01,kalventrecote,300.0
2022-01-01,kapris,10.0
2022-01-01,krutonger,30.0
2022-01-01,kyckling,300.0
2022-01-01,linguini,300.0
2022-01-01,mixsallad,60.0
2022-01-01,morot,135.0
2022-01-01,mozarella,20.0
2022-01-01,paprika_grön,135.0
2022-01-01,pepparsås,90.0
2022-01-01,pommes_frites,2920.0
2022-01-01,romansallad,90.0
2022-01-01,rödlök,200.0
2022-01-01,rödvinssås,400.0
2022-01-01,ströbröd,120.0
2022-01-01,tomat,160.0
2022-01-01,vetemjöl,30.0
2022-01-01,zucchini,135.0
2022-01-01,ägg,120.0
2022-01-02,aioli,440.0
2022-01-02,bacon,200.0
2022-01-02,balsamico,5.0
2022-01-02,barn_hamburgare,90.0
2022-01-02,bearnaisesås,140.0
2022-01-02,blomkål,90.0
2022-01-02,blåbär,0.0
2022-01-02,caesardressing,40.0
2022-01-02,champinjoner,200.0
2022-01-02,cheddar,135.0
2022-01-02,chokladsås,0.0
2022-01-02,coleslaw,360.0
2022-01-02,fläskfile,720.0
2022-01-02,grädde,0.0
2022-01-02,hamburgarbröd,500.0
2022-01-02,hamburgardressing,270.0
2022-01-02,högrev,900.0
2022-01-02,inlagd_gurka,180.0
2022-01-02,jalapeno,140.0
2022-01-02,kalventrecote,150.0
2022-01-02,kapris,5.0
2022-01-02,krutonger,30.0
2022-01-02,kyckling,150.0
2022-01-02,köttfärs,120.0
2022-01-02,linguini,900.0
2022-01-02,mixsallad,20.0
2022-01-02,morot,90.0
2022-01-02,mozarella,20.0
2022-01-02,nacho_chips,160.0
2022-01-02,oxfile,200.0
2022-01-02,paprika_grön,90.0
2022-01-02,pepparsås,270.0
2022-01-02,pizzabotten,1250.0
2022-01-02,pommes_frites,2430.0
2022-01-02,riven_ost,620.0
2022-01-02,romansallad,90.0
2022-01-02,rödlök,510.0
2022-01-02,rödvinssås,160.0
2022-01-02,ströbröd,60.0
2022-01-02,tomat,420.0
2022-01-02,tomatsås,500.0
2022-01-02,vaniljglass,0.0
2022-01-02,vetemjöl,15.0
2022-01-02,zucchini,90.0
2022-01-02,ägg,60.0
2022-01-03,aioli,160.0
2022-01-03,baguette,150.0
2022-01-03,bearnaisesås,35.0
2022-01-03,champinjoner,40.0
2022-01-03,coleslaw,40.0
2022-01-03,jalapeno,60.0
2022-01-03,kalventrecote,150.0
2022-01-03,kapris,5.0
2022-01-03,kycklingvingar,150.0
2022-01-03,köttfärs,180.0
2022-01-03,mixsallad,20.0
2022-01-03,nacho_chips,240.0
2022-01-03,pizzabotten,250.0
2022-01-03,pommes_frites,180.0
2022-01-03,riven_ost,320.0
