Datum;temp;weather_main
2022-01-01 14:00:00 +0000 UTC;4.23;Clouds
2022-01-02 14:00:00 +0000 UTC;6.06;Clouds
2022-01-03 14:00:00 +0000 UTC;5.99;Rain
2022-01-04 14:00:00 +0000 UTC;3.45;Clear
2022-01-05 14:00:00 +0000 UTC;1.01;Clouds
2022-01-06 14:00:00 +0000 UTC;0.46;Clouds
2022-01-07 14:00:00 +0000 UTC;2.15;Rain
2022-01-08 14:00:00 +0000 UTC;1.09;Clouds
2022-01-09 14:00:00 +0000 UTC;0.55;Snow
2022-01-10 14:00:00 +0000 UTC;1.58;Clouds
2022-01-11 14:00:00 +0000 UTC;2.2;Rain
2022-01-12 14:00:00 +0000 UTC;4.91;Clouds
2022-01-13 14:00:00 +0000 UTC;6.15;Clouds
2022-01-14 14:00:00 +0000 UTC;5.74;Clear
2022-01-15 14:00:00 +0000 UTC;2.96;Clouds
2022-01-16 14:00:00 +0000 UTC;5.72;Rain
2022-01-17 14:00:00 +0000 UTC;4.65;Clear
2022-01-18 14:00:00 +0000 UTC;5.43;Clouds
2022-01-19 14:00:00 +0000 UTC;4.93;Rain
2022-01-20 14:00:00 +0000 UTC;0.8;Clouds
2022-01-21 14:00:00 +0000 UTC;5.16;Clouds
2022-01-22 14:00:00 +0000 UTC;2.37;Clouds
2022-01-23 14:00:00 +0000 UTC;5.82;Clouds
2022-01-24 14:00:00 +0000 UTC;4.78;Clouds
2022-01-25 14:00:00 +0000 UTC;5.76;Clear
2022-01-26 14:00:00 +0000 UTC;6.13;Clouds
2022-01-27 14:00:00 +0000 UTC;5.87;Clear
2022-01-28 14:00:00 +0000 UTC;4.93;Clear
2022-01-29 14:00:00 +0000 UTC;6.44;Rain
2022-01-30 14:00:00 +0000 UTC;6.14;Clear
2022-01-31 14:00:00 +0000 UTC;0.52;Clouds
2022-02-01 14:00:00 +0000 UTC;-0.44;Snow
2022-02-02 14:00:00 +0000 UTC;0.96;Rain
2022-02-03 14:00:00 +0000 UTC;3.12;Rain
2022-02-04 14:00:00 +0000 UTC;3.43;Rain
2022-02-05 14:00:00 +0000 UTC;3.89;Clouds
2022-02-06 14:00:00 +0000 UTC;1.7;Rain
2022-02-07 14:00:00 +0000 UTC;6.27;Clear
2022-02-08 14:00:00 +0000 UTC;6.4;Clear
2022-02-09 14:00:00 +0000 UTC;4.96;Clear
2022-02-10 14:00:00 +0000 UTC;4.55;Clouds
2022-02-11 14:00:00 +0000 UTC;3.95;Clear
2022-02-12 14:00:00 +0000 UTC;3.26;Clouds
2022-02-13 14:00:00 +0000 UTC;3.26;Rain
2022-02-14 14:00:00 +0000 UTC;5.9;Clouds
2022-02-15 14:00:00 +0000 UTC;5.11;Clouds
2022-02-16 14:00:00 +0000 UTC;3.62;Rain
2022-02-17 14:00:00 +0000 UTC;4.32;Clouds
2022-02-18 14:00:00 +0000 UTC;4.31;Clouds
2022-02-19 14:00:00 +0000 UTC;4.4;Rain
2022-02-20 14:00:00 +0000 UTC;2.73;Rain
2022-02-21 14:00:00 +0000 UTC;0.89;Clouds
2022-02-22 14:00:00 +0000 UTC;0.47;Clouds
2022-02-23 14:00:00 +0000 UTC;5.63;Clouds
2022-02-24 14:00:00 +0000 UTC;4.24;Rain
2022-02-25 14:00:00 +0000 UTC;5.33;Clouds
2022-02-26 14:00:00 +0000 UTC;4.54;Clear
2022-02-27 14:00:00 +0000 UTC;3.03;Clear
2022-02-28 14:00:00 +0000 UTC;5.13;Clear
2022-03-01 14:00:00 +0000 UTC;2.94;Clouds
2022-03-02 14:00:00 +0000 UTC;5.35;Clouds
2022-03-03 14:00:00 +0000 UTC;8.12;Clear
2022-03-04 14:00:00 +0000 UTC;5.97;Clear
2022-03-05 14:00:00 +0000 UTC;3.2;Clouds
2022-03-06 14:00:00 +0000 UTC;7.57;Clear
2022-03-07 14:00:00 +0000 UTC;5.81;Clouds
2022-03-08 14:00:00 +0000 UTC;2.47;Clouds
2022-03-09 14:00:00 +0000 UTC;6.18;Clouds
2022-03-10 14:00:00 +0000 UTC;6.15;Clouds
2022-03-11 14:00:00 +0000 UTC;8.65;Clear
2022-03-12 14:00:00 +0000 UTC;11.74;Clear
2022-03-13 14:00:00 +0000 UTC;10.18;Clear
2022-03-14 14:00:00 +0000 UTC;11.1;Clear
2022-03-15 14:00:00 +0000 UTC;5.04;Clouds
2022-03-16 14:00:00 +0000 UTC;6.69;Clouds
2022-03-17 14:00:00 +0000 UTC;6.45;Rain
2022-03-18 14:00:00 +0000 UTC;8.17;Clear
2022-03-19 14:00:00 +0000 UTC;8.44;Clear
2022-03-20 14:00:00 +0000 UTC;9.43;Clear
2022-03-21 14:00:00 +0000 UTC;11.61;Clear
2022-03-22 14:00:00 +0000 UTC;9.04;Clouds
2022-03-23 14:00:00 +0000 UTC;7.04;Clear
2022-03-24 14:00:00 +0000 UTC;8.93;Clear
2022-03-25 14:00:00 +0000 UTC;10.31;Clouds
2022-03-26 14:00:00 +0000 UTC;10.28;Clouds
2022-03-27 14:00:00 +0000 UTC;9.3;Clouds
2022-03-28 14:00:00 +0000 UTC;8.96;Clear
2022-03-29 14:00:00 +0000 UTC;6.49;Clouds
2022-03-30 14:00:00 +0000 UTC;4.93;Clouds
2022-03-31 14:00:00 +0000 UTC;4.29;Clouds
2022-04-01 14:00:00 +0000 UTC;3.95;Clouds
2022-04-02 14:00:00 +0000 UTC;5.25;Clouds
2022-04-03 14:00:00 +0000 UTC;6.47;Clouds
2022-04-04 14:00:00 +0000 UTC;5.12;Rain
2022-04-05 14:00:00 +0000 UTC;6.39;Clouds
2022-04-06 14:00:00 +0000 UTC;1.04;Rain
2022-04-07 14:00:00 +0000 UTC;5.67;Rain
2022-04-08 14:00:00 +0000 UTC;3.42;Clouds
2022-04-09 14:00:00 +0000 UTC;7.83;Clouds
2022-04-10 14:00:00 +0000 UTC;7.71;Clear
2022-04-11 14:00:00 +0000 UTC;7.43;Clouds
2022-04-12 14:00:00 +0000 UTC;8.89;Clouds
2022-04-13 14:00:00 +0000 UTC;13.05;Clouds
2022-04-14 14:00:00 +0000 UTC;8.13;Rain
2022-04-15 14:00:00 +0000 UTC;11.73;Clouds
2022-04-16 14:00:00 +0000 UTC;10.51;Clear
2022-04-17 14:00:00 +0000 UTC;10.62;Clear
2022-04-18 14:00:00 +0000 UTC;12.98;Clouds
2022-04-19 14:00:00 +0000 UTC;17.96;Clouds
2022-04-20 14:00:00 +0000 UTC;17.14;Clouds
2022-04-21 14:00:00 +0000 UTC;16.97;Clouds
2022-04-22 14:00:00 +0000 UTC;18.33;Clear
2022-04-23 14:00:00 +0000 UTC;14.41;Clouds
2022-04-24 14:00:00 +0000 UTC;13.63;Clouds
2022-04-25 14:00:00 +0000 UTC;12.23;Clear
2022-04-26 14:00:00 +0000 UTC;13.21;Clouds
2022-04-27 14:00:00 +0000 UTC;11.35;Clouds
2022-04-28 14:00:00 +0000 UTC;12.44;Clouds
2022-04-29 14:00:00 +0000 UTC;11.81;Clouds
2022-04-30 14:00:00 +0000 UTC;13.07;Clouds
2022-05-01 14:00:00 +0000 UTC;13.62;Clear
2022-05-02 14:00:00 +0000 UTC;12.13;Clouds
2022-05-03 14:00:00 +0000 UTC;14.11;Clear
2022-05-04 14:00:00 +0000 UTC;12.87;Clouds
2022-05-05 14:00:00 +0000 UTC;10.47;Clouds
2022-05-06 14:00:00 +0000 UTC;12.73;Clouds
2022-05-07 14:00:00 +0000 UTC;13.11;Clouds
2022-05-08 14:00:00 +0000 UTC;16.94;Clear
2022-05-09 14:00:00 +0000 UTC;13.65;Clear
2022-05-10 14:00:00 +0000 UTC;11.62;Rain
2022-05-11 14:00:00 +0000 UTC;11.11;Rain
2022-05-12 14:00:00 +0000 UTC;11.96;Clouds
2022-05-13 14:00:00 +0000 UTC;11.62;Rain
2022-05-14 14:00:00 +0000 UTC;12.78;Clouds
2022-05-15 14:00:00 +0000 UTC;14.98;Clouds
2022-05-16 14:00:00 +0000 UTC;18.16;Clouds
2022-05-17 14:00:00 +0000 UTC;19.81;Clouds
2022-05-18 14:00:00 +0000 UTC;15.89;Clouds
2022-05-19 14:00:00 +0000 UTC;16.16;Clouds
2022-05-20 14:00:00 +0000 UTC;16.34;Clouds
2022-05-21 14:00:00 +0000 UTC;12.25;Clouds
2022-05-22 14:00:00 +0000 UTC;15.05;Clouds
2022-05-23 14:00:00 +0000 UTC;16.97;Clouds
2022-05-24 14:00:00 +0000 UTC;13.02;Rain
2022-05-25 14:00:00 +0000 UTC;13.55;Rain
2022-05-26 14:00:00 +0000 UTC;13.91;Clear
2022-05-27 14:00:00 +0000 UTC;13.18;Clouds
2022-05-28 14:00:00 +0000 UTC;15.95;Clouds
2022-05-29 14:00:00 +0000 UTC;16.8;Clear
2022-05-30 14:00:00 +0000 UTC;11.01;Rain
2022-05-31 14:00:00 +0000 UTC;15.39;Clouds
2022-06-01 14:00:00 +0000 UTC;15.43;Clouds
2022-06-02 14:00:00 +0000 UTC;13.87;Rain
2022-06-03 14:00:00 +0000 UTC;14.26;Clouds
2022-06-04 14:00:00 +0000 UTC;17.04;Clear
2022-06-05 14:00:00 +0000 UTC;18.93;Clouds
2022-06-06 14:00:00 +0000 UTC;20.71;Clouds
2022-06-07 14:00:00 +0000 UTC;17.61;Clouds
2022-06-08 14:00:00 +0000 UTC;13.88;Clouds
2022-06-09 14:00:00 +0000 UTC;19.92;Clouds
2022-06-10 14:00:00 +0000 UTC;16.58;Clouds
2022-06-11 14:00:00 +0000 UTC;17.74;Clouds
2022-06-12 14:00:00 +0000 UTC;15.81;Clouds
2022-06-13 14:00:00 +0000 UTC;16.02;Clouds
2022-06-14 14:00:00 +0000 UTC;17.75;Clear
2022-06-15 14:00:00 +0000 UTC;16.8;Clouds
2022-06-16 14:00:00 +0000 UTC;19.33;Clear
2022-06-17 14:00:00 +0000 UTC;18.72;Clouds
2022-06-18 14:00:00 +0000 UTC;16.97;Clear
2022-06-19 14:00:00 +0000 UTC;16.85;Clouds
2022-06-20 14:00:00 +0000 UTC;17.07;Rain
2022-06-21 14:00:00 +0000 UTC;17.46;Clouds
2022-06-22 14:00:00 +0000 UTC;16.21;Clouds
2022-06-23 14:00:00 +0000 UTC;17.34;Clouds
2022-06-24 14:00:00 +0000 UTC;24.88;Clear
2022-06-25 14:00:00 +0000 UTC;23.82;Clouds
2022-06-26 14:00:00 +0000 UTC;28.25;Clouds
2022-06-27 14:00:00 +0000 UTC;29.74;Clouds
2022-06-28 14:00:00 +0000 UTC;20.59;Rain
2022-06-29 14:00:00 +0000 UTC;22.09;Clouds
2022-06-30 14:00:00 +0000 UTC;27.54;Clouds
2022-07-01 14:00:00 +0000 UTC;22.21;Clouds
2022-07-02 14:00:00 +0000 UTC;19.86;Clouds
2022-07-03 14:00:00 +0000 UTC;17.59;Clouds
2022-07-04 14:00:00 +0000 UTC;17.28;Rain
2022-07-05 14:00:00 +0000 UTC;16.94;Clouds
2022-07-06 14:00:00 +0000 UTC;18.27;Clouds
2022-07-07 14:00:00 +0000 UTC;20.62;Clouds
2022-07-08 14:00:00 +0000 UTC;19.47;Clouds
2022-07-09 14:00:00 +0000 UTC;18.72;Clouds
2022-07-10 14:00:00 +0000 UTC;19.87;Clouds
2022-07-11 14:00:00 +0000 UTC;19.98;Clouds
2022-07-12 14:00:00 +0000 UTC;21.16;Clouds
2022-07-13 14:00:00 +0000 UTC;19.57;Clear
2022-07-14 14:00:00 +0000 UTC;17.18;Clouds
2022-07-15 14:00:00 +0000 UTC;17.32;Clouds
2022-07-16 14:00:00 +0000 UTC;19.39;Clouds
2022-07-17 14:00:00 +0000 UTC;19.47;Clouds
2022-07-18 14:00:00 +0000 UTC;20.44;Clouds
2022-07-19 14:00:00 +0000 UTC;22.87;Clouds
2022-07-20 14:00:00 +0000 UTC;29.32;Clear
2022-07-21 14:00:00 +0000 UTC;26.05;Clouds
2022-07-22 14:00:00 +0000 UTC;17.78;Rain
2022-07-23 14:00:00 +0000 UTC;18.66;Clouds
2022-07-24 14:00:00 +0000 UTC;17.49;Clouds
2022-07-25 14:00:00 +0000 UTC;17.47;Rain
2022-07-26 14:00:00 +0000 UTC;16.33;Clouds
2022-07-27 14:00:00 +0000 UTC;19.61;Clear
2022-07-28 14:00:00 +0000 UTC;19.33;Clouds
2022-07-29 14:00:00 +0000 UTC;21.07;Clouds
2022-07-30 14:00:00 +0000 UTC;22.61;Clouds
2022-07-31 14:00:00 +0000 UTC;20.67;Clouds
2022-08-01 14:00:00 +0000 UTC;19.52;Clouds
2022-08-02 14:00:00 +0000 UTC;16.67;Rain
2022-08-03 14:00:00 +0000 UTC;20.44;Clouds
2022-08-04 14:00:00 +0000 UTC;24.02;Rain
2022-08-05 14:00:00 +0000 UTC;19.29;Clouds
2022-08-06 14:00:00 +0000 UTC;17.81;Clouds
2022-08-07 14:00:00 +0000 UTC;13.71;Rain
2022-08-08 14:00:00 +0000 UTC;19.45;Clouds
2022-08-09 14:00:00 +0000 UTC;20.29;Clouds
2022-08-10 14:00:00 +0000 UTC;20.75;Clouds
2022-08-11 14:00:00 +0000 UTC;22.39;Clear
2022-08-12 14:00:00 +0000 UTC;23.26;Clear
2022-08-13 14:00:00 +0000 UTC;24.98;Clouds
2022-08-14 14:00:00 +0000 UTC;26.28;Clouds
2022-08-15 14:00:00 +0000 UTC;26.81;Rain
2022-08-16 14:00:00 +0000 UTC;23.35;Rain
2022-08-17 14:00:00 +0000 UTC;21.99;Clouds
2022-08-18 14:00:00 +0000 UTC;24.8;Clouds
2022-08-19 14:00:00 +0000 UTC;22.55;Clouds
2022-08-20 14:00:00 +0000 UTC;20.82;Clouds
2022-08-21 14:00:00 +0000 UTC;19.44;Rain
2022-08-22 14:00:00 +0000 UTC;18.81;Clouds
2022-08-23 14:00:00 +0000 UTC;22.6;Clouds
2022-08-24 14:00:00 +0000 UTC;23.91;Clear
2022-08-25 14:00:00 +0000 UTC;25.54;Clear
2022-08-26 14:00:00 +0000 UTC;24.12;Clear
2022-08-27 14:00:00 +0000 UTC;20.51;Rain
2022-08-28 14:00:00 +0000 UTC;19.61;Clouds
2022-08-29 14:00:00 +0000 UTC;19.53;Clouds
2022-08-30 14:00:00 +0000 UTC;20.38;Clouds
2022-08-31 14:00:00 +0000 UTC;19.3;Clouds
2022-09-01 14:00:00 +0000 UTC;20.29;Clear
2022-09-02 14:00:00 +0000 UTC;19.52;Clouds
2022-09-03 14:00:00 +0000 UTC;18.93;Clouds
2022-09-04 14:00:00 +0000 UTC;20.73;Clouds
2022-09-05 14:00:00 +0000 UTC;20.1;Clouds
2022-09-06 14:00:00 +0000 UTC;19.6;Clouds
2022-09-07 14:00:00 +0000 UTC;20.04;Clouds
2022-09-08 14:00:00 +0000 UTC;19.32;Clouds
2022-09-09 14:00:00 +0000 UTC;14.31;Rain
2022-09-10 14:00:00 +0000 UTC;16.44;Clouds
2022-09-11 14:00:00 +0000 UTC;17.79;Clouds
2022-09-12 14:00:00 +0000 UTC;17.36;Clouds
2022-09-13 14:00:00 +0000 UTC;14.22;Rain
2022-09-14 14:00:00 +0000 UTC;15.03;Clouds
2022-09-15 14:00:00 +0000 UTC;15.81;Clouds
2022-09-16 14:00:00 +0000 UTC;17.41;Clouds
2022-09-17 14:00:00 +0000 UTC;16.34;Clouds
2022-09-18 14:00:00 +0000 UTC;15.63;Clouds
2022-09-19 14:00:00 +0000 UTC;15.66;Clouds
2022-09-20 14:00:00 +0000 UTC;14.85;Clouds
2022-09-21 14:00:00 +0000 UTC;15.34;Clouds
2022-09-22 14:00:00 +0000 UTC;14.36;Clouds
2022-09-23 14:00:00 +0000 UTC;14.47;Clouds
2022-09-24 14:00:00 +0000 UTC;15.07;Rain
2022-09-25 14:00:00 +0000 UTC;13.99;Clouds
2022-09-26 14:00:00 +0000 UTC;12.59;Rain
2022-09-27 14:00:00 +0000 UTC;12.91;Rain
2022-09-28 14:00:00 +0000 UTC;14.58;Rain
2022-09-29 14:00:00 +0000 UTC;14.24;Clouds
2022-09-30 14:00:00 +0000 UTC;13.08;Rain
2022-10-01 14:00:00 +0000 UTC;10.55;Rain
2022-10-02 14:00:00 +0000 UTC;12.5;Clouds
2022-10-03 14:00:00 +0000 UTC;14.64;Clear
2022-10-04 14:00:00 +0000 UTC;14.26;Clouds
2022-10-05 14:00:00 +0000 UTC;14.06;Rain
2022-10-06 14:00:00 +0000 UTC;13.85;Clouds
2022-10-07 14:00:00 +0000 UTC;13.43;Clouds
2022-10-08 14:00:00 +0000 UTC;12.88;Clouds
2022-10-09 14:00:00 +0000 UTC;13.68;Clouds
2022-10-10 14:00:00 +0000 UTC;12.75;Clouds
2022-10-11 14:00:00 +0000 UTC;12.26;Clouds
2022-10-12 14:00:00 +0000 UTC;13.07;Clouds
2022-10-13 14:00:00 +0000 UTC;12.58;Clouds
2022-10-14 14:00:00 +0000 UTC;12.03;Clouds
2022-10-15 14:00:00 +0000 UTC;13.24;Clouds
2022-10-16 14:00:00 +0000 UTC;12.88;Rain
2022-10-17 14:00:00 +0000 UTC;9.65;Rain
2022-10-18 14:00:00 +0000 UTC;12.74;Clouds
2022-10-19 14:00:00 +0000 UTC;10.46;Clear
2022-10-20 14:00:00 +0000 UTC;10.55;Clouds
2022-10-21 14:00:00 +0000 UTC;9.02;Rain
2022-10-22 14:00:00 +0000 UTC;10.28;Clouds
2022-10-23 14:00:00 +0000 UTC;11.78;Clouds
2022-10-24 14:00:00 +0000 UTC;12.99;Rain
2022-10-25 14:00:00 +0000 UTC;12.9;Rain
2022-10-26 14:00:00 +0000 UTC;12.13;Clouds
2022-10-27 14:00:00 +0000 UTC;12.62;Clouds
2022-10-28 14:00:00 +0000 UTC;13.29;Clouds
2022-10-29 14:00:00 +0000 UTC;12.84;Clouds
2022-10-30 14:00:00 +0000 UTC;14.94;Clouds
