Datum;temp;weather_main
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2022-01-01 00:00:00 +0000 UTC;4.7;Clouds
2022-01-01 01:00:00 +0000 UTC;4.71;Clouds
2022-01-01 02:00:00 +0000 UTC;5.53;Rain
2022-01-01 03:00:00 +0000 UTC;4.71;Clouds
2022-01-01 04:00:00 +0000 UTC;4.71;Clouds
2022-01-01 05:00:00 +0000 UTC;4.7;Clouds
2022-01-01 06:00:00 +0000 UTC;4.11;Clouds
2022-01-01 07:00:00 +0000 UTC;4.31;Clouds
2022-01-01 08:00:00 +0000 UTC;4.15;Clouds
2022-01-01 09:00:00 +0000 UTC;4.16;Clouds
2022-01-01 10:00:00 +0000 UTC;4.16;Clouds
2022-01-01 11:00:00 +0000 UTC;4.16;Clouds
2022-01-01 12:00:00 +0000 UTC;4.24;Clouds
2022-01-01 13:00:00 +0000 UTC;4.03;Clouds
2022-01-01 14:00:00 +0000 UTC;4.23;Clouds
2022-01-01 15:00:00 +0000 UTC;3.78;Clouds
2022-01-01 16:00:00 +0000 UTC;4.54;Clouds
2022-01-01 17:00:00 +0000 UTC;3.78;Clouds
2022-01-01 18:00:00 +0000 UTC;4.25;Clouds
2022-01-01 19:00:00 +0000 UTC;4.83;Rain
2022-01-01 20:00:00 +0000 UTC;5.41;Rain
2022-01-01 21:00:00 +0000 UTC;5.39;Rain
2022-01-01 22:00:00 +0000 UTC;5.78;Rain
2022-01-01 23:00:00 +0000 UTC;5.98;Rain
2022-01-02 00:00:00 +0000 UTC;5.8;Rain
2022-01-02 01:00:00 +0000 UTC;5.94;Rain
2022-01-02 02:00:00 +0000 UTC;6.92;Rain
2022-01-02 03:00:00 +0000 UTC;7.55;Rain
2022-01-02 04:00:00 +0000 UTC;7.12;Clouds
2022-01-02 05:00:00 +0000 UTC;6.92;Clouds
2022-01-02 06:00:00 +0000 UTC;6.36;Clouds
2022-01-02 07:00:00 +0000 UTC;6.99;Clouds
2022-01-02 08:00:00 +0000 UTC;6.73;Rain
2022-01-02 09:00:00 +0000 UTC;6.8;Clouds
2022-01-02 10:00:00 +0000 UTC;7.12;Rain
2022-01-02 11:00:00 +0000 UTC;7.23;Rain
2022-01-02 12:00:00 +0000 UTC;6.92;Clouds
2022-01-02 13:00:00 +0000 UTC;6.06;Clouds
2022-01-02 14:00:00 +0000 UTC;6.06;Clouds
2022-01-02 15:00:00 +0000 UTC;5.74;Clouds
2022-01-02 16:00:00 +0000 UTC;5.77;Rain
2022-01-02 17:00:00 +0000 UTC;5.44;Rain
2022-01-02 18:00:00 +0000 UTC;5.67;Rain
2022-01-02 19:00:00 +0000 UTC;5.35;Rain
2022-01-02 20:00:00 +0000 UTC;5.68;Clouds
2022-01-02 21:00:00 +0000 UTC;5.82;Rain
2022-01-02 22:00:00 +0000 UTC;6.21;Rain
2022-01-02 23:00:00 +0000 UTC;6.13;Rain
2022-01-03 00:00:00 +0000 UTC;6.13;Clouds
2022-01-03 01:00:00 +0000 UTC;5.82;Clouds
2022-01-03 02:00:00 +0000 UTC;5.82;Clouds
2022-01-03 03:00:00 +0000 UTC;5.82;Clouds
