dt,dt_iso,timezone,city_name,lat,lon,temp,weather_id,weather_main,weather_description,weather_icon
1640995200,2022-01-01 00:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.7,804,Clouds,overcast clouds,04n
1640998800,2022-01-01 01:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.71,804,Clouds,overcast clouds,04n
1641002400,2022-01-01 02:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.53,500,Rain,light rain,10n
1641006000,2022-01-01 03:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.71,804,Clouds,overcast clouds,04n
1641009600,2022-01-01 04:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.71,803,Clouds,broken clouds,04n
1641013200,2022-01-01 05:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.7,803,Clouds,broken clouds,04n
1641016800,2022-01-01 06:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.11,804,Clouds,overcast clouds,04n
1641020400,2022-01-01 07:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.31,804,Clouds,overcast clouds,04n
1641024000,2022-01-01 08:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.15,804,Clouds,overcast clouds,04d
1641027600,2022-01-01 09:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.16,804,Clouds,overcast clouds,04d
1641031200,2022-01-01 10:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.16,804,Clouds,overcast clouds,04d
1641034800,2022-01-01 11:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.16,804,Clouds,overcast clouds,04d
1641038400,2022-01-01 12:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.24,804,Clouds,overcast clouds,04d
1641042000,2022-01-01 13:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.03,804,Clouds,overcast clouds,04d
1641045600,2022-01-01 14:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.23,804,Clouds,overcast clouds,04d
1641049200,2022-01-01 15:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.78,804,Clouds,overcast clouds,04n
1641052800,2022-01-01 16:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.54,804,Clouds,overcast clouds,04n
1641056400,2022-01-01 17:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.78,804,Clouds,overcast clouds,04n
1641060000,2022-01-01 18:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.25,804,Clouds,overcast clouds,04n
1641063600,2022-01-01 19:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.83,500,Rain,light rain,10n
1641067200,2022-01-01 20:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.41,500,Rain,light rain,10n
1641070800,2022-01-01 21:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.39,501,Rain,moderate rain,10n
1641074400,2022-01-01 22:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.78,501,Rain,moderate rain,10n
1641078000,2022-01-01 23:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.98,501,Rain,moderate rain,10n
1641081600,2022-01-02 00:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.8,501,Rain,moderate rain,10n
1641085200,2022-01-02 01:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.94,500,Rain,light rain,10n
1641088800,2022-01-02 02:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.92,500,Rain,light rain,10n
1641092400,2022-01-02 03:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,7.55,500,Rain,light rain,10n
1641096000,2022-01-02 04:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,7.12,804,Clouds,overcast clouds,04n
1641099600,2022-01-02 05:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.92,804,Clouds,overcast clouds,04n
1641103200,2022-01-02 06:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.36,804,Clouds,overcast clouds,04n
1641106800,2022-01-02 07:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.99,804,Clouds,overcast clouds,04n
1641110400,2022-01-02 08:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.73,500,Rain,light rain,10d
1641114000,2022-01-02 09:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.8,804,Clouds,overcast clouds,04d
1641117600,2022-01-02 10:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,7.12,500,Rain,light rain,10d
1641121200,2022-01-02 11:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,7.23,500,Rain,light rain,10d
1641124800,2022-01-02 12:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.92,804,Clouds,overcast clouds,04d
1641128400,2022-01-02 13:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.06,804,Clouds,overcast clouds,04d
1641132000,2022-01-02 14:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.06,804,Clouds,overcast clouds,04d
1641135600,2022-01-02 15:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.74,804,Clouds,overcast clouds,04n
1641139200,2022-01-02 16:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.77,500,Rain,light rain,10n
1641142800,2022-01-02 17:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.44,500,Rain,light rain,10n
1641146400,2022-01-02 18:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.67,500,Rain,light rain,10n
1641150000,2022-01-02 19:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.35,500,Rain,light rain,10n
1641153600,2022-01-02 20:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.68,804,Clouds,overcast clouds,04n
1641157200,2022-01-02 21:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.82,500,Rain,light rain,10n
1641160800,2022-01-02 22:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.21,500,Rain,light rain,10n
1641164400,2022-01-02 23:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.13,500,Rain,light rain,10n
1641168000,2022-01-03 00:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.13,804,Clouds,overcast clouds,04n
1641171600,2022-01-03 01:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.82,804,Clouds,overcast clouds,04n
1641175200,2022-01-03 02:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.82,804,Clouds,overcast clouds,04n
1641178800,2022-01-03 03:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.82,804,Clouds,overcast clouds,04n
1641182400,2022-01-03 04:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.82,804,Clouds,overcast clouds,04n
1641186000,2022-01-03 05:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.82,804,Clouds,overcast clouds,04n
1641189600,2022-01-03 06:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.82,804,Clouds,overcast clouds,04n
1641193200,2022-01-03 07:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.82,804,Clouds,overcast clouds,04n
1641196800,2022-01-03 08:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.82,804,Clouds,overcast clouds,04d
1641200400,2022-01-03 09:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.29,803,Clouds,broken clouds,04d
1641204000,2022-01-03 10:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.06,500,Rain,light rain,10d
1641207600,2022-01-03 11:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.06,500,Rain,light rain,10d
1641211200,2022-01-03 12:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.4,804,Clouds,overcast clouds,04d
1641214800,2022-01-03 13:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,6.4,804,Clouds,overcast clouds,04d
1641218400,2022-01-03 14:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.99,500,Rain,light rain,10d
1641222000,2022-01-03 15:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.8,500,Rain,light rain,10n
1641225600,2022-01-03 16:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.8,500,Rain,light rain,10n
1641229200,2022-01-03 17:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.8,803,Clouds,broken clouds,04n
1641232800,2022-01-03 18:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.98,803,Clouds,broken clouds,04n
1641236400,2022-01-03 19:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.8,500,Rain,light rain,10n
1641240000,2022-01-03 20:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,5.48,500,Rain,light rain,10n
1641243600,2022-01-03 21:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.89,500,Rain,light rain,10n
1641247200,2022-01-03 22:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.99,801,Clouds,few clouds,02n
1641250800,2022-01-03 23:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.29,801,Clouds,few clouds,02n
1641254400,2022-01-04 00:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.01,800,Clear,sky is clear,01n
1641258000,2022-01-04 01:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,1.73,800,Clear,sky is clear,01n
1641261600,2022-01-04 02:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.11,800,Clear,sky is clear,01n
1641265200,2022-01-04 03:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.04,801,Clouds,few clouds,02n
1641268800,2022-01-04 04:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.18,802,Clouds,scattered clouds,03n
1641272400,2022-01-04 05:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,0.01,801,Clouds,few clouds,02n
1641276000,2022-01-04 06:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,1.79,800,Clear,sky is clear,01n
1641279600,2022-01-04 07:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.03,800,Clear,sky is clear,01n
1641283200,2022-01-04 08:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.44,800,Clear,sky is clear,01d
1641286800,2022-01-04 09:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.42,800,Clear,sky is clear,01d
1641290400,2022-01-04 10:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.46,800,Clear,sky is clear,01d
1641294000,2022-01-04 11:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.78,801,Clouds,few clouds,02d
1641297600,2022-01-04 12:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4.18,800,Clear,sky is clear,01d
1641301200,2022-01-04 13:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.9,800,Clear,sky is clear,01d
1641304800,2022-01-04 14:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.45,800,Clear,sky is clear,01d
1641308400,2022-01-04 15:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,4,801,Clouds,few clouds,02n
1641312000,2022-01-04 16:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.04,802,Clouds,scattered clouds,03n
1641315600,2022-01-04 17:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.46,802,Clouds,scattered clouds,03n
1641319200,2022-01-04 18:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.41,802,Clouds,scattered clouds,03n
1641322800,2022-01-04 19:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.87,500,Rain,light rain,10n
1641326400,2022-01-04 20:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.92,802,Clouds,scattered clouds,03n
1641330000,2022-01-04 21:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,1.84,600,Snow,light snow,13n
1641333600,2022-01-04 22:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,3.12,500,Rain,light rain,10n
1641337200,2022-01-04 23:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.63,500,Rain,light rain,10n
1641340800,2022-01-05 00:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,1.83,600,Snow,light snow,13n
1641344400,2022-01-05 01:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,1.92,500,Rain,light rain,10n
1641348000,2022-01-05 02:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.34,500,Rain,light rain,10n
1641351600,2022-01-05 03:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.52,500,Rain,light rain,10n
1641355200,2022-01-05 04:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.69,500,Rain,light rain,10n
1641358800,2022-01-05 05:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,1.98,500,Rain,light rain,10n
1641362400,2022-01-05 06:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.65,500,Rain,light rain,10n
1641366000,2022-01-05 07:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.66,500,Rain,light rain,10n
1641369600,2022-01-05 08:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.29,500,Rain,light rain,10d
1641373200,2022-01-05 09:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,1.71,600,Snow,light snow,13d
1641376800,2022-01-05 10:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.17,500,Rain,light rain,10d
1641380400,2022-01-05 11:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.23,804,Clouds,overcast clouds,04d
1641384000,2022-01-05 12:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,1.35,804,Clouds,overcast clouds,04d
1641387600,2022-01-05 13:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,1.53,803,Clouds,broken clouds,04d
1641391200,2022-01-05 14:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,1.01,803,Clouds,broken clouds,04d
1641394800,2022-01-05 15:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,0.24,803,Clouds,broken clouds,04n
1641398400,2022-01-05 16:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-0.66,804,Clouds,overcast clouds,04n
1641402000,2022-01-05 17:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.11,804,Clouds,overcast clouds,04n
1641405600,2022-01-05 18:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-2.87,804,Clouds,overcast clouds,04n
1641409200,2022-01-05 19:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-3.05,802,Clouds,scattered clouds,03n
1641412800,2022-01-05 20:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-2.16,801,Clouds,few clouds,02n
1641416400,2022-01-05 21:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.43,800,Clear,sky is clear,01n
1641420000,2022-01-05 22:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.57,800,Clear,sky is clear,01n
1641423600,2022-01-05 23:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.23,800,Clear,sky is clear,01n
1641427200,2022-01-06 00:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.4,800,Clear,sky is clear,01n
1641430800,2022-01-06 01:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.23,800,Clear,sky is clear,01n
1641434400,2022-01-06 02:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.6,800,Clear,sky is clear,01n
1641438000,2022-01-06 03:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.87,800,Clear,sky is clear,01n
1641441600,2022-01-06 04:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-2.03,800,Clear,sky is clear,01n
1641445200,2022-01-06 05:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-2.29,800,Clear,sky is clear,01n
1641448800,2022-01-06 06:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-2.74,800,Clear,sky is clear,01n
1641452400,2022-01-06 07:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-2.73,800,Clear,sky is clear,01n
1641456000,2022-01-06 08:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-4.3,800,Clear,sky is clear,01d
1641459600,2022-01-06 09:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.45,800,Clear,sky is clear,01d
1641463200,2022-01-06 10:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-0.52,800,Clear,sky is clear,01d
1641466800,2022-01-06 11:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-0.03,801,Clouds,few clouds,02d
1641470400,2022-01-06 12:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,1.32,802,Clouds,scattered clouds,03d
1641474000,2022-01-06 13:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,2.3,802,Clouds,scattered clouds,03d
1641477600,2022-01-06 14:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,0.46,801,Clouds,few clouds,02d
1641481200,2022-01-06 15:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.08,801,Clouds,few clouds,02n
1641484800,2022-01-06 16:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.53,801,Clouds,few clouds,02n
1641488400,2022-01-06 17:00:00 +0000 UTC,3600,Kungsbacka,57.487492,12.076193,-1.53,802,Clouds,scattered clouds,03n
