date,sold,temp,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7,weather_status_Klart,weather_status_Moln,weather_status_Regn,weather_status_Snö
2022-01-01,19,04.23,0,0,0,0,0,0,1,0,1,0,0
2022-01-02,26,06.06,1,0,0,0,0,0,0,0,1,0,0
2022-01-03,7,06.39,0,1,0,0,0,0,0,0,0,1,0
2022-01-04,7,03.45,0,0,1,0,0,0,0,1,0,0,0
2022-01-05,8,01.01,0,0,0,1,0,0,0,0,1,0,0
2022-01-06,45,00.46,0,0,0,0,1,0,0,0,1,0,0
2022-01-07,29,02.15,0,0,0,0,0,1,0,0,0,1,0
2022-01-08,44,01.09,0,0,0,0,0,0,1,0,1,0,0
2022-01-09,18,00.55,1,0,0,0,0,0,0,0,0,0,1
2022-01-10,0,01.58,0,1,0,0,0,0,0,0,1,0,0
2022-01-11,5,02.20,0,0,1,0,0,0,0,0,0,1,0
2022-01-12,1,05.31,0,0,0,1,0,0,0,0,1,0,0
2022-01-13,6,06.15,0,0,0,0,1,0,0,0,1,0,0
2022-01-14,2,06.14,0,0,0,0,0,1,0,1,0,0,0
2022-01-15,2,03.36,0,0,0,0,0,0,1,0,1,0,0
2022-01-16,30,06.12,1,0,0,0,0,0,0,0,0,1,0
2022-01-17,14,05.05,0,1,0,0,0,0,0,1,0,0,0
2022-01-18,5,05.43,0,0,1,0,0,0,0,0,1,0,0
2022-01-19,8,05.33,0,0,0,1,0,0,0,0,0,1,0
2022-01-20,2,01.20,0,0,0,0,1,0,0,0,1,0,0
2022-01-21,5,05.16,0,0,0,0,0,1,0,0,1,0,0
2022-01-22,60,02.37,0,0,0,0,0,0,1,0,1,0,0
2022-01-23,59,06.22,1,0,0,0,0,0,0,0,1,0,0
2022-01-24,16,05.18,0,1,0,0,0,0,0,0,1,0,0
2022-01-25,3,06.16,0,0,1,0,0,0,0,1,0,0,0
2022-01-26,5,06.13,0,0,0,1,0,0,0,0,1,0,0
2022-01-27,14,06.27,0,0,0,0,1,0,0,1,0,0,0
2022-01-28,5,05.33,0,0,0,0,0,1,0,1,0,0,0
2022-01-29,80,06.44,0,0,0,0,0,0,1,0,0,1,0
2022-01-30,47,06.14,1,0,0,0,0,0,0,1,0,0,0
2022-01-31,11,00.52,0,1,0,0,0,0,0,0,1,0,0
2022-02-01,45,−0.44,0,0,1,0,0,0,0,0,0,0,1
2022-02-02,6,01.36,0,0,0,1,0,0,0,0,0,1,0
2022-02-03,11,03.12,0,0,0,0,1,0,0,0,0,1,0
2022-02-04,22,03.43,0,0,0,0,0,1,0,0,0,1,0
2022-02-05,14,04.29,0,0,0,0,0,0,1,0,1,0,0
2022-02-06,22,02.10,1,0,0,0,0,0,0,0,0,1,0
2022-02-07,20,06.27,0,1,0,0,0,0,0,1,0,0,0
2022-02-08,14,06.40,0,0,1,0,0,0,0,1,0,0,0
2022-02-09,1,05.36,0,0,0,1,0,0,0,1,0,0,0
2022-02-10,14,04.55,0,0,0,0,1,0,0,0,1,0,0
2022-02-11,17,04.35,0,0,0,0,0,1,0,1,0,0,0
2022-02-12,4,03.26,0,0,0,0,0,0,1,0,1,0,0
2022-02-13,73,03.26,1,0,0,0,0,0,0,0,0,1,0
2022-02-14,26,06.30,0,1,0,0,0,0,0,0,1,0,0
2022-02-15,21,05.11,0,0,1,0,0,0,0,0,1,0,0
2022-02-16,32,04.02,0,0,0,1,0,0,0,0,0,1,0
2022-02-17,15,04.32,0,0,0,0,1,0,0,0,1,0,0
2022-02-18,21,04.31,0,0,0,0,0,1,0,0,1,0,0
2022-02-19,4,04.40,0,0,0,0,0,0,1,0,0,1,0
2022-02-20,81,03.13,1,0,0,0,0,0,0,0,0,1,0
2022-02-21,24,01.29,0,1,0,0,0,0,0,0,1,0,0
2022-02-22,9,00.47,0,0,1,0,0,0,0,0,1,0,0
2022-02-23,17,06.03,0,0,0,1,0,0,0,0,1,0,0
2022-02-24,9,04.24,0,0,0,0,1,0,0,0,0,1,0
2022-02-25,23,05.33,0,0,0,0,0,1,0,0,1,0,0
2022-02-26,6,04.54,0,0,0,0,0,0,1,1,0,0,0
2022-02-27,35,03.03,1,0,0,0,0,0,0,1,0,0,0
2022-02-28,15,05.13,0,1,0,0,0,0,0,1,0,0,0
2022-03-01,25,03.34,0,0,1,0,0,0,0,0,1,0,0
2022-03-02,19,05.35,0,0,0,1,0,0,0,0,1,0,0
2022-03-03,13,08.12,0,0,0,0,1,0,0,1,0,0,0
2022-03-04,27,06.37,0,0,0,0,0,1,0,1,0,0,0
2022-03-05,11,03.20,0,0,0,0,0,0,1,0,1,0,0
2022-03-06,42,07.57,1,0,0,0,0,0,0,1,0,0,0
2022-03-07,33,06.21,0,1,0,0,0,0,0,0,1,0,0
2022-03-08,6,02.47,0,0,1,0,0,0,0,0,1,0,0
